Genotype	Treatment	Height	Timepoint	GenotypeTreatment
S21K18026703	control	72	1	S21K18026703xcontrol
S21K18026703	drought	62	1	S21K18026703xdrought
S21K18026703	control	72	2	S21K18026703xcontrol
S21K18026703	drought	62	2	S21K18026703xdrought
S21K18026703	control	72	3	S21K18026703xcontrol
S21K18026703	drought	63	3	S21K18026703xdrought
S21K18026703	control	71	4	S21K18026703xcontrol
S21K18026703	drought	68	4	S21K18026703xdrought
S21K18026703	drought	77	5	S21K18026703xdrought
S21K18026703	control	72	5	S21K18026703xcontrol
S21K18026703	drought	76.5	6	S21K18026703xdrought
S21K18026703	control	71	6	S21K18026703xcontrol
S21K18026703	drought	72	7	S21K18026703xdrought
S21K18026703	control	70.5	7	S21K18026703xcontrol
S21K18026703	drought	77.5	8	S21K18026703xdrought
S21K18026703	control	71	8	S21K18026703xcontrol
S21K18026703	drought	77	9	S21K18026703xdrought
S21K18026703	control	70.5	9	S21K18026703xcontrol
S21K1825319	drought	91	1	S21K1825319xdrought
S21K1825319	drought	87.5	1	S21K1825319xdrought
S21K1825319	control	78.5	1	S21K1825319xcontrol
S21K1825319	drought	75.5	1	S21K1825319xdrought
S21K1825319	control	69	1	S21K1825319xcontrol
S21K1825319	control	65	1	S21K1825319xcontrol
S21K1825319	control	80	1	S21K1825319xcontrol
S21K1825319	drought	75	1	S21K1825319xdrought
S21K1825319	drought	72	1	S21K1825319xdrought
S21K1825319	drought	96.5	2	S21K1825319xdrought
S21K1825319	drought	94	2	S21K1825319xdrought
S21K1825319	control	82.8	2	S21K1825319xcontrol
S21K1825319	drought	81	2	S21K1825319xdrought
S21K1825319	drought	78	2	S21K1825319xdrought
S21K1825319	drought	76.5	2	S21K1825319xdrought
S21K1825319	control	76.5	2	S21K1825319xcontrol
S21K1825319	control	75.5	2	S21K1825319xcontrol
S21K1825319	control	72.5	2	S21K1825319xcontrol
S21K1825319	drought	97	3	S21K1825319xdrought
S21K1825319	drought	92	3	S21K1825319xdrought
S21K1825319	control	88	3	S21K1825319xcontrol
S21K1825319	control	84	3	S21K1825319xcontrol
S21K1825319	drought	81	3	S21K1825319xdrought
S21K1825319	drought	80	3	S21K1825319xdrought
S21K1825319	drought	80	3	S21K1825319xdrought
S21K1825319	control	77	3	S21K1825319xcontrol
S21K1825319	control	72	3	S21K1825319xcontrol
S21K1825319	drought	98	4	S21K1825319xdrought
S21K1825319	drought	93.5	4	S21K1825319xdrought
S21K1825319	control	88	4	S21K1825319xcontrol
S21K1825319	control	85	4	S21K1825319xcontrol
S21K1825319	drought	84	4	S21K1825319xdrought
S21K1825319	drought	82.5	4	S21K1825319xdrought
S21K1825319	control	80	4	S21K1825319xcontrol
S21K1825319	drought	79.5	4	S21K1825319xdrought
S21K1825319	control	72.5	4	S21K1825319xcontrol
S21K1825319	drought	99	5	S21K1825319xdrought
S21K1825319	drought	94.5	5	S21K1825319xdrought
S21K1825319	control	88	5	S21K1825319xcontrol
S21K1825319	drought	84	5	S21K1825319xdrought
S21K1825319	control	83.5	5	S21K1825319xcontrol
S21K1825319	drought	83	5	S21K1825319xdrought
S21K1825319	control	80	5	S21K1825319xcontrol
S21K1825319	drought	80	5	S21K1825319xdrought
S21K1825319	control	73	5	S21K1825319xcontrol
S21K1825319	drought	99	6	S21K1825319xdrought
S21K1825319	drought	94	6	S21K1825319xdrought
S21K1825319	control	88	6	S21K1825319xcontrol
S21K1825319	control	84	6	S21K1825319xcontrol
S21K1825319	drought	84	6	S21K1825319xdrought
S21K1825319	drought	82.5	6	S21K1825319xdrought
S21K1825319	drought	80.5	6	S21K1825319xdrought
S21K1825319	control	79	6	S21K1825319xcontrol
S21K1825319	control	72	6	S21K1825319xcontrol
S21K1825319	drought	98.5	7	S21K1825319xdrought
S21K1825319	drought	95	7	S21K1825319xdrought
S21K1825319	control	86	7	S21K1825319xcontrol
S21K1825319	control	83	7	S21K1825319xcontrol
S21K1825319	drought	83	7	S21K1825319xdrought
S21K1825319	drought	82	7	S21K1825319xdrought
S21K1825319	drought	79.5	7	S21K1825319xdrought
S21K1825319	control	79	7	S21K1825319xcontrol
S21K1825319	control	72	7	S21K1825319xcontrol
S21K1825319	drought	98.5	8	S21K1825319xdrought
S21K1825319	drought	95	8	S21K1825319xdrought
S21K1825319	control	86	8	S21K1825319xcontrol
S21K1825319	control	84	8	S21K1825319xcontrol
S21K1825319	drought	83.5	8	S21K1825319xdrought
S21K1825319	drought	82.5	8	S21K1825319xdrought
S21K1825319	drought	80	8	S21K1825319xdrought
S21K1825319	control	79.5	8	S21K1825319xcontrol
S21K1825319	control	73	8	S21K1825319xcontrol
S21K1825319	drought	98.5	9	S21K1825319xdrought
S21K1825319	drought	95	9	S21K1825319xdrought
S21K1825319	control	86	9	S21K1825319xcontrol
S21K1825319	drought	83.5	9	S21K1825319xdrought
S21K1825319	control	83	9	S21K1825319xcontrol
S21K1825319	drought	82.5	9	S21K1825319xdrought
S21K1825319	control	80	9	S21K1825319xcontrol
S21K1825319	drought	80	9	S21K1825319xdrought
S21K1825319	control	73	9	S21K1825319xcontrol
S21K1825725	control	82	1	S21K1825725xcontrol
S21K1825725	drought	71.5	1	S21K1825725xdrought
S21K1825725	control	69	1	S21K1825725xcontrol
S21K1825725	drought	68.5	1	S21K1825725xdrought
S21K1825725	drought	67	1	S21K1825725xdrought
S21K1825725	drought	66.5	1	S21K1825725xdrought
S21K1825725	control	65.5	1	S21K1825725xcontrol
S21K1825725	control	64	1	S21K1825725xcontrol
S21K1825725	control	63	1	S21K1825725xcontrol
S21K1825725	drought	62.5	1	S21K1825725xdrought
S21K1825725	drought	62.5	1	S21K1825725xdrought
S21K1825725	control	58	1	S21K1825725xcontrol
S21K1825725	control	55	1	S21K1825725xcontrol
S21K1825725	control	53.5	1	S21K1825725xcontrol
S21K1825725	drought	51	1	S21K1825725xdrought
S21K1825725	drought	47.5	1	S21K1825725xdrought
S21K1825725	control	82	2	S21K1825725xcontrol
S21K1825725	drought	77.5	2	S21K1825725xdrought
S21K1825725	control	74	2	S21K1825725xcontrol
S21K1825725	control	72	2	S21K1825725xcontrol
S21K1825725	drought	71	2	S21K1825725xdrought
S21K1825725	control	69.5	2	S21K1825725xcontrol
S21K1825725	drought	69	2	S21K1825725xdrought
S21K1825725	control	68	2	S21K1825725xcontrol
S21K1825725	drought	68	2	S21K1825725xdrought
S21K1825725	drought	68	2	S21K1825725xdrought
S21K1825725	drought	66	2	S21K1825725xdrought
S21K1825725	control	64	2	S21K1825725xcontrol
S21K1825725	control	62	2	S21K1825725xcontrol
S21K1825725	control	58	2	S21K1825725xcontrol
S21K1825725	drought	54	2	S21K1825725xdrought
S21K1825725	drought	54	2	S21K1825725xdrought
S21K1825725	control	82	3	S21K1825725xcontrol
S21K1825725	drought	78	3	S21K1825725xdrought
S21K1825725	control	73	3	S21K1825725xcontrol
S21K1825725	control	72	3	S21K1825725xcontrol
S21K1825725	control	72	3	S21K1825725xcontrol
S21K1825725	drought	71	3	S21K1825725xdrought
S21K1825725	drought	70	3	S21K1825725xdrought
S21K1825725	control	70	3	S21K1825725xcontrol
S21K1825725	drought	67	3	S21K1825725xdrought
S21K1825725	drought	66	3	S21K1825725xdrought
S21K1825725	control	65	3	S21K1825725xcontrol
S21K1825725	control	64	3	S21K1825725xcontrol
S21K1825725	drought	63	3	S21K1825725xdrought
S21K1825725	control	58	3	S21K1825725xcontrol
S21K1825725	drought	55	3	S21K1825725xdrought
S21K1825725	drought	54	3	S21K1825725xdrought
S21K1825725	control	91	4	S21K1825725xcontrol
S21K1825725	drought	79	4	S21K1825725xdrought
S21K1825725	control	74	4	S21K1825725xcontrol
S21K1825725	control	74	4	S21K1825725xcontrol
S21K1825725	drought	73	4	S21K1825725xdrought
S21K1825725	drought	72	4	S21K1825725xdrought
S21K1825725	control	72	4	S21K1825725xcontrol
S21K1825725	control	72	4	S21K1825725xcontrol
S21K1825725	drought	71	4	S21K1825725xdrought
S21K1825725	drought	69.5	4	S21K1825725xdrought
S21K1825725	drought	69	4	S21K1825725xdrought
S21K1825725	control	65	4	S21K1825725xcontrol
S21K1825725	control	64	4	S21K1825725xcontrol
S21K1825725	control	57.5	4	S21K1825725xcontrol
S21K1825725	drought	55	4	S21K1825725xdrought
S21K1825725	drought	55	4	S21K1825725xdrought
S21K1825725	control	89	5	S21K1825725xcontrol
S21K1825725	drought	80	5	S21K1825725xdrought
S21K1825725	control	74	5	S21K1825725xcontrol
S21K1825725	control	73	5	S21K1825725xcontrol
S21K1825725	drought	73	5	S21K1825725xdrought
S21K1825725	drought	73	5	S21K1825725xdrought
S21K1825725	control	72	5	S21K1825725xcontrol
S21K1825725	control	71	5	S21K1825725xcontrol
S21K1825725	drought	70	5	S21K1825725xdrought
S21K1825725	drought	69.5	5	S21K1825725xdrought
S21K1825725	drought	69	5	S21K1825725xdrought
S21K1825725	control	66	5	S21K1825725xcontrol
S21K1825725	control	62	5	S21K1825725xcontrol
S21K1825725	control	58	5	S21K1825725xcontrol
S21K1825725	drought	56	5	S21K1825725xdrought
S21K1825725	drought	55	5	S21K1825725xdrought
S21K1825725	control	91	6	S21K1825725xcontrol
S21K1825725	drought	79.5	6	S21K1825725xdrought
S21K1825725	drought	75	6	S21K1825725xdrought
S21K1825725	control	74.5	6	S21K1825725xcontrol
S21K1825725	control	73	6	S21K1825725xcontrol
S21K1825725	drought	73	6	S21K1825725xdrought
S21K1825725	control	73	6	S21K1825725xcontrol
S21K1825725	drought	71	6	S21K1825725xdrought
S21K1825725	control	71	6	S21K1825725xcontrol
S21K1825725	drought	70	6	S21K1825725xdrought
S21K1825725	drought	69	6	S21K1825725xdrought
S21K1825725	control	65	6	S21K1825725xcontrol
S21K1825725	control	64	6	S21K1825725xcontrol
S21K1825725	drought	59	6	S21K1825725xdrought
S21K1825725	control	58	6	S21K1825725xcontrol
S21K1825725	drought	56	6	S21K1825725xdrought
S21K1825725	control	90	7	S21K1825725xcontrol
S21K1825725	drought	80	7	S21K1825725xdrought
S21K1825725	control	74.5	7	S21K1825725xcontrol
S21K1825725	drought	74.5	7	S21K1825725xdrought
S21K1825725	control	72	7	S21K1825725xcontrol
S21K1825725	drought	72	7	S21K1825725xdrought
S21K1825725	control	72	7	S21K1825725xcontrol
S21K1825725	drought	71	7	S21K1825725xdrought
S21K1825725	control	71	7	S21K1825725xcontrol
S21K1825725	drought	69	7	S21K1825725xdrought
S21K1825725	drought	69	7	S21K1825725xdrought
S21K1825725	control	64	7	S21K1825725xcontrol
S21K1825725	control	64	7	S21K1825725xcontrol
S21K1825725	drought	59.5	7	S21K1825725xdrought
S21K1825725	control	59	7	S21K1825725xcontrol
S21K1825725	drought	54.5	7	S21K1825725xdrought
S21K1825725	control	90	8	S21K1825725xcontrol
S21K1825725	drought	80	8	S21K1825725xdrought
S21K1825725	control	75	8	S21K1825725xcontrol
S21K1825725	drought	74	8	S21K1825725xdrought
S21K1825725	control	73	8	S21K1825725xcontrol
S21K1825725	drought	73	8	S21K1825725xdrought
S21K1825725	drought	72	8	S21K1825725xdrought
S21K1825725	control	72	8	S21K1825725xcontrol
S21K1825725	control	72	8	S21K1825725xcontrol
S21K1825725	drought	70	8	S21K1825725xdrought
S21K1825725	drought	68	8	S21K1825725xdrought
S21K1825725	control	65	8	S21K1825725xcontrol
S21K1825725	control	64	8	S21K1825725xcontrol
S21K1825725	drought	58.5	8	S21K1825725xdrought
S21K1825725	control	58	8	S21K1825725xcontrol
S21K1825725	drought	55	8	S21K1825725xdrought
S21K1825725	control	91	9	S21K1825725xcontrol
S21K1825725	drought	80	9	S21K1825725xdrought
S21K1825725	control	74	9	S21K1825725xcontrol
S21K1825725	drought	73.5	9	S21K1825725xdrought
S21K1825725	control	73	9	S21K1825725xcontrol
S21K1825725	drought	73	9	S21K1825725xdrought
S21K1825725	control	72.5	9	S21K1825725xcontrol
S21K1825725	control	71	9	S21K1825725xcontrol
S21K1825725	drought	70.5	9	S21K1825725xdrought
S21K1825725	drought	70	9	S21K1825725xdrought
S21K1825725	drought	68	9	S21K1825725xdrought
S21K1825725	control	64	9	S21K1825725xcontrol
S21K1825725	control	64	9	S21K1825725xcontrol
S21K1825725	drought	59	9	S21K1825725xdrought
S21K1825725	control	58	9	S21K1825725xcontrol
S21K1825725	drought	54	9	S21K1825725xdrought
S21K1825871	control	72	1	S21K1825871xcontrol
S21K1825871	control	55	1	S21K1825871xcontrol
S21K1825871	drought	51	1	S21K1825871xdrought
S21K1825871	drought	48	1	S21K1825871xdrought
S21K1825871	drought	80	1	S21K1825871xdrought
S21K1825871	control	71	1	S21K1825871xcontrol
S21K1825871	control	69	1	S21K1825871xcontrol
S21K1825871	control	55	1	S21K1825871xcontrol
S21K1825871	drought	48	1	S21K1825871xdrought
S21K1825871	drought	82	2	S21K1825871xdrought
S21K1825871	control	77	2	S21K1825871xcontrol
S21K1825871	control	75	2	S21K1825871xcontrol
S21K1825871	control	66	2	S21K1825871xcontrol
S21K1825871	control	61	2	S21K1825871xcontrol
S21K1825871	control	55	2	S21K1825871xcontrol
S21K1825871	drought	54.5	2	S21K1825871xdrought
S21K1825871	drought	49.5	2	S21K1825871xdrought
S21K1825871	drought	49	2	S21K1825871xdrought
S21K1825871	drought	82	3	S21K1825871xdrought
S21K1825871	control	76	3	S21K1825871xcontrol
S21K1825871	control	72	3	S21K1825871xcontrol
S21K1825871	control	66	3	S21K1825871xcontrol
S21K1825871	control	59	3	S21K1825871xcontrol
S21K1825871	drought	55	3	S21K1825871xdrought
S21K1825871	control	55	3	S21K1825871xcontrol
S21K1825871	drought	44	3	S21K1825871xdrought
S21K1825871	drought	84	4	S21K1825871xdrought
S21K1825871	control	76	4	S21K1825871xcontrol
S21K1825871	control	75	4	S21K1825871xcontrol
S21K1825871	control	70	4	S21K1825871xcontrol
S21K1825871	control	65	4	S21K1825871xcontrol
S21K1825871	control	60	4	S21K1825871xcontrol
S21K1825871	drought	54	4	S21K1825871xdrought
S21K1825871	drought	51	4	S21K1825871xdrought
S21K1825871	drought	50	4	S21K1825871xdrought
S21K1825871	drought	86	5	S21K1825871xdrought
S21K1825871	control	76	5	S21K1825871xcontrol
S21K1825871	control	75	5	S21K1825871xcontrol
S21K1825871	control	71	5	S21K1825871xcontrol
S21K1825871	control	60	5	S21K1825871xcontrol
S21K1825871	control	59.5	5	S21K1825871xcontrol
S21K1825871	drought	56	5	S21K1825871xdrought
S21K1825871	drought	52	5	S21K1825871xdrought
S21K1825871	drought	51.5	5	S21K1825871xdrought
S21K1825871	drought	86	6	S21K1825871xdrought
S21K1825871	control	77	6	S21K1825871xcontrol
S21K1825871	control	75	6	S21K1825871xcontrol
S21K1825871	control	72	6	S21K1825871xcontrol
S21K1825871	control	65	6	S21K1825871xcontrol
S21K1825871	control	61	6	S21K1825871xcontrol
S21K1825871	drought	56	6	S21K1825871xdrought
S21K1825871	drought	52	6	S21K1825871xdrought
S21K1825871	drought	51	6	S21K1825871xdrought
S21K1825871	drought	87	7	S21K1825871xdrought
S21K1825871	control	76.5	7	S21K1825871xcontrol
S21K1825871	control	75	7	S21K1825871xcontrol
S21K1825871	control	72	7	S21K1825871xcontrol
S21K1825871	control	65.5	7	S21K1825871xcontrol
S21K1825871	control	62.5	7	S21K1825871xcontrol
S21K1825871	drought	55	7	S21K1825871xdrought
S21K1825871	drought	51.5	7	S21K1825871xdrought
S21K1825871	drought	51.5	7	S21K1825871xdrought
S21K1825871	drought	86.5	8	S21K1825871xdrought
S21K1825871	control	77	8	S21K1825871xcontrol
S21K1825871	control	75	8	S21K1825871xcontrol
S21K1825871	control	72.5	8	S21K1825871xcontrol
S21K1825871	control	66	8	S21K1825871xcontrol
S21K1825871	control	62	8	S21K1825871xcontrol
S21K1825871	drought	55.5	8	S21K1825871xdrought
S21K1825871	drought	52	8	S21K1825871xdrought
S21K1825871	drought	51	8	S21K1825871xdrought
S21K1825871	drought	86	9	S21K1825871xdrought
S21K1825871	control	76.5	9	S21K1825871xcontrol
S21K1825871	control	75	9	S21K1825871xcontrol
S21K1825871	control	70	9	S21K1825871xcontrol
S21K1825871	control	66	9	S21K1825871xcontrol
S21K1825871	control	62	9	S21K1825871xcontrol
S21K1825871	drought	55	9	S21K1825871xdrought
S21K1825871	drought	53	9	S21K1825871xdrought
S21K1825871	drought	52	9	S21K1825871xdrought
S21K1825876	control	88	1	S21K1825876xcontrol
S21K1825876	control	68.5	1	S21K1825876xcontrol
S21K1825876	drought	67.5	1	S21K1825876xdrought
S21K1825876	drought	65	1	S21K1825876xdrought
S21K1825876	drought	75	1	S21K1825876xdrought
S21K1825876	drought	74	1	S21K1825876xdrought
S21K1825876	drought	70	1	S21K1825876xdrought
S21K1825876	control	67	1	S21K1825876xcontrol
S21K1825876	drought	67	1	S21K1825876xdrought
S21K1825876	control	66	1	S21K1825876xcontrol
S21K1825876	control	60	1	S21K1825876xcontrol
S21K1825876	drought	59	1	S21K1825876xdrought
S21K1825876	control	87.5	2	S21K1825876xcontrol
S21K1825876	drought	76	2	S21K1825876xdrought
S21K1825876	drought	75.4	2	S21K1825876xdrought
S21K1825876	drought	74	2	S21K1825876xdrought
S21K1825876	control	71	2	S21K1825876xcontrol
S21K1825876	drought	70.5	2	S21K1825876xdrought
S21K1825876	drought	68.5	2	S21K1825876xdrought
S21K1825876	drought	68	2	S21K1825876xdrought
S21K1825876	control	67	2	S21K1825876xcontrol
S21K1825876	control	62	2	S21K1825876xcontrol
S21K1825876	drought	60	2	S21K1825876xdrought
S21K1825876	control	NA	2	S21K1825876xcontrol
S21K1825876	control	91	3	S21K1825876xcontrol
S21K1825876	drought	76	3	S21K1825876xdrought
S21K1825876	drought	75	3	S21K1825876xdrought
S21K1825876	control	70	3	S21K1825876xcontrol
S21K1825876	drought	70	3	S21K1825876xdrought
S21K1825876	drought	70	3	S21K1825876xdrought
S21K1825876	drought	69	3	S21K1825876xdrought
S21K1825876	control	67	3	S21K1825876xcontrol
S21K1825876	control	67	3	S21K1825876xcontrol
S21K1825876	control	65	3	S21K1825876xcontrol
S21K1825876	drought	63	3	S21K1825876xdrought
S21K1825876	drought	54	3	S21K1825876xdrought
S21K1825876	control	89.5	4	S21K1825876xcontrol
S21K1825876	drought	83	4	S21K1825876xdrought
S21K1825876	drought	77	4	S21K1825876xdrought
S21K1825876	control	72	4	S21K1825876xcontrol
S21K1825876	control	70.5	4	S21K1825876xcontrol
S21K1825876	drought	70	4	S21K1825876xdrought
S21K1825876	drought	70	4	S21K1825876xdrought
S21K1825876	drought	69	4	S21K1825876xdrought
S21K1825876	control	67	4	S21K1825876xcontrol
S21K1825876	control	66	4	S21K1825876xcontrol
S21K1825876	drought	64	4	S21K1825876xdrought
S21K1825876	drought	53	4	S21K1825876xdrought
S21K1825876	control	92	5	S21K1825876xcontrol
S21K1825876	drought	84	5	S21K1825876xdrought
S21K1825876	drought	76	5	S21K1825876xdrought
S21K1825876	drought	74	5	S21K1825876xdrought
S21K1825876	control	72.5	5	S21K1825876xcontrol
S21K1825876	control	71.5	5	S21K1825876xcontrol
S21K1825876	drought	70.5	5	S21K1825876xdrought
S21K1825876	drought	69	5	S21K1825876xdrought
S21K1825876	control	67	5	S21K1825876xcontrol
S21K1825876	drought	65	5	S21K1825876xdrought
S21K1825876	control	63	5	S21K1825876xcontrol
S21K1825876	drought	54	5	S21K1825876xdrought
S21K1825876	control	91	6	S21K1825876xcontrol
S21K1825876	drought	83.5	6	S21K1825876xdrought
S21K1825876	drought	77	6	S21K1825876xdrought
S21K1825876	drought	77	6	S21K1825876xdrought
S21K1825876	drought	76.5	6	S21K1825876xdrought
S21K1825876	drought	74.5	6	S21K1825876xdrought
S21K1825876	control	72.5	6	S21K1825876xcontrol
S21K1825876	control	72	6	S21K1825876xcontrol
S21K1825876	drought	69	6	S21K1825876xdrought
S21K1825876	control	67	6	S21K1825876xcontrol
S21K1825876	control	65	6	S21K1825876xcontrol
S21K1825876	drought	65	6	S21K1825876xdrought
S21K1825876	control	91	7	S21K1825876xcontrol
S21K1825876	drought	83	7	S21K1825876xdrought
S21K1825876	drought	77.5	7	S21K1825876xdrought
S21K1825876	drought	76.5	7	S21K1825876xdrought
S21K1825876	drought	74	7	S21K1825876xdrought
S21K1825876	control	72	7	S21K1825876xcontrol
S21K1825876	control	72	7	S21K1825876xcontrol
S21K1825876	drought	70.5	7	S21K1825876xdrought
S21K1825876	drought	69	7	S21K1825876xdrought
S21K1825876	control	67	7	S21K1825876xcontrol
S21K1825876	control	65	7	S21K1825876xcontrol
S21K1825876	drought	64.5	7	S21K1825876xdrought
S21K1825876	control	90	8	S21K1825876xcontrol
S21K1825876	drought	84	8	S21K1825876xdrought
S21K1825876	drought	78	8	S21K1825876xdrought
S21K1825876	drought	76.5	8	S21K1825876xdrought
S21K1825876	drought	75	8	S21K1825876xdrought
S21K1825876	control	73	8	S21K1825876xcontrol
S21K1825876	control	72	8	S21K1825876xcontrol
S21K1825876	drought	70.5	8	S21K1825876xdrought
S21K1825876	drought	69	8	S21K1825876xdrought
S21K1825876	control	67	8	S21K1825876xcontrol
S21K1825876	control	65	8	S21K1825876xcontrol
S21K1825876	drought	65	8	S21K1825876xdrought
S21K1825876	control	90	9	S21K1825876xcontrol
S21K1825876	drought	84	9	S21K1825876xdrought
S21K1825876	drought	78	9	S21K1825876xdrought
S21K1825876	drought	76.5	9	S21K1825876xdrought
S21K1825876	drought	74	9	S21K1825876xdrought
S21K1825876	control	73	9	S21K1825876xcontrol
S21K1825876	control	71.5	9	S21K1825876xcontrol
S21K1825876	drought	70.5	9	S21K1825876xdrought
S21K1825876	drought	69	9	S21K1825876xdrought
S21K1825876	control	67	9	S21K1825876xcontrol
S21K1825876	control	65	9	S21K1825876xcontrol
S21K1825876	drought	63.5	9	S21K1825876xdrought
S21K1825878	control	75	1	S21K1825878xcontrol
S21K1825878	control	83	1	S21K1825878xcontrol
S21K1825878	drought	81	1	S21K1825878xdrought
S21K1825878	control	73	1	S21K1825878xcontrol
S21K1825878	control	72	1	S21K1825878xcontrol
S21K1825878	drought	71	1	S21K1825878xdrought
S21K1825878	control	70	1	S21K1825878xcontrol
S21K1825878	drought	52	1	S21K1825878xdrought
S21K1825878	control	48	1	S21K1825878xcontrol
S21K1825878	drought	42	1	S21K1825878xdrought
S21K1825878	drought	38	1	S21K1825878xdrought
S21K1825878	control	36	1	S21K1825878xcontrol
S21K1825878	drought	36	1	S21K1825878xdrought
S21K1825878	control	83	2	S21K1825878xcontrol
S21K1825878	drought	80	2	S21K1825878xdrought
S21K1825878	control	77	2	S21K1825878xcontrol
S21K1825878	control	75	2	S21K1825878xcontrol
S21K1825878	control	73	2	S21K1825878xcontrol
S21K1825878	drought	71.5	2	S21K1825878xdrought
S21K1825878	control	70	2	S21K1825878xcontrol
S21K1825878	drought	60	2	S21K1825878xdrought
S21K1825878	control	47.5	2	S21K1825878xcontrol
S21K1825878	drought	42	2	S21K1825878xdrought
S21K1825878	drought	38	2	S21K1825878xdrought
S21K1825878	control	35	2	S21K1825878xcontrol
S21K1825878	drought	35	2	S21K1825878xdrought
S21K1825878	control	85	3	S21K1825878xcontrol
S21K1825878	drought	81	3	S21K1825878xdrought
S21K1825878	control	74	3	S21K1825878xcontrol
S21K1825878	control	72	3	S21K1825878xcontrol
S21K1825878	control	67	3	S21K1825878xcontrol
S21K1825878	control	62	3	S21K1825878xcontrol
S21K1825878	drought	59	3	S21K1825878xdrought
S21K1825878	control	57	3	S21K1825878xcontrol
S21K1825878	control	51	3	S21K1825878xcontrol
S21K1825878	drought	43	3	S21K1825878xdrought
S21K1825878	drought	41	3	S21K1825878xdrought
S21K1825878	drought	38	3	S21K1825878xdrought
